id,song,hip hop,jazz,country,classical,festival,rock
76,"Schumann, Robert - Piano Concerto in A minor, Op. 54",0.000314,0.095308,0.000057,0.83451,0.008107,0.007979
77,"Schumann, Robert - Kreisleriana, 8 fantasies for piano, Op. 16",0.000362,0.019451,0.00071,0.636329,0.001942,0.001708
78,"Schumann, Robert - Romances (3) for piano, Op. 28",0.000029,0.319045,0.02364,0.375437,0.000188,0.002427
79,"Schumann, Robert - Cello Concerto in A minor, Op. 129",0.000463,0.119713,0.001289,0.943917,0.003705,0.001238
80,"Schumann, Robert - String Quartet No. 2 in F major, Op. 41?2",0.001102,0.201407,0.00304,0.705018,0.000488,0.002486
81,Angelo - Save The Music,0.006463,0.064678,0.085623,0.000001,0.203264,0.008503
82,Tricky - Aftermath,0.486745,0.179436,0.001328,0.000027,0.022968,0.04119
83,Asleep At The Wheel - Cotton-Eyed Joe,0.001766,0.27267,0.369199,0.000769,0.022336,0.096975
84,Asleep At The Wheel - Stay All Night,0.008839,0.275356,0.105327,0.000267,0.13597,0.075282
85,Question Mark and the Mysterians - 96 Tears,0.002614,0.048759,0.113905,0.007967,0.094551,0.076227
86,"JoJo - Too Little, Too Late",0.004732,0.008508,0.115326,0.000003,0.363465,0.229376
87,Christmas Cookies (Holiday) - The Christmas Song,0.000968,0.010615,0.010334,0.199661,0.018611,0.001351
88,Christmas Cookies (Holiday) - White Christmas,0.000994,0.02146,0.031231,0.739305,0.002779,0.000432
89,William Clarke - Five Card Hand,0.011972,0.037695,0.08085,0.000002,0.073969,0.249977
90,"Antonio Vivaldi (Holiday) - Gloria In D Major, Et In Terra Pax",0.000536,0.137817,0.065159,0.998277,0.000755,0.006679
91,Robbie Seay Band - Love Wins,0.017217,0.008637,0.006215,0,0.2448,0.046081
92,R.L. Burnside - When My First Wife Left Me,0.006156,0.095364,0.021917,0.053299,0.026595,0.128685
93,Black Sheep - The Choice Is Yours (Album Version),0.458943,0.12343,0.008473,0.000032,0.091714,0.111505
94,Black Sheep - The Choice Is Yours (Revisited),0.437779,0.1419,0.002665,0.000024,0.025359,0.173744
95,Jurgen Paape - Take That,0.706036,0.496025,0.000088,0.00001,0.080716,0.046426
96,Tommy Jarrell - The Drunken Hiccups,0.007167,0.237188,0.026535,0.001788,0.000554,0.00118
97,John Zorn - Zhakor,0.027883,0.286266,0.010184,0.000013,0.046201,0.003631
98,Retrosic - Desperate Youth,0.001516,0.001752,0.034657,0,0.441766,0.193023
99,Deepak Chopra & Adam Plack - Valentine To Tagore,0.119368,0.003557,0.048369,0.000003,0.043819,0.002803
100,Deepak Chopra & Adam Plack - Serenity,0.000174,0.034142,0.030073,0.115063,0.00513,0.001509
101,Bing Crosby - You Must Have Been A Beautiful Baby,0.006536,0.226189,0.120934,0.000286,0.035456,0.188162
102,"Bing Crosby - It's Been A Long, Long Time",0.00819,0.02971,0.013131,0.154601,0.002536,0.051194
103,Bing Crosby - When You Wore A Tulip (live),0.036137,0.065358,0.01814,0.000017,0.07527,0.02219
104,Bing Crosby - I Don't Know Why (live),0.012621,0.158623,0.063827,0.000664,0.084438,0.037019
105,The George Lewis Band - Pork Chop,0.010235,0.642683,0.108478,0.000329,0.034816,0.050765
106,John Renbourn - Trotto ? Saltarello,0.000686,0.008557,0.01814,0.000115,0.051819,0.003364
107,Alexander O'Neal (Holiday) - The Christmas Song (Chestnuts Roasting On An Open Fire),0.003873,0.262999,0.008295,0.000616,0.017291,0.0061
108,Celia Cruz & Tito Puente - La Plena Bomba Me Llama,0.003027,0.015253,0.057184,0.000008,0.291961,0.142398
109,Robert Johnson - I Believe I'll Dust My Broom,0.035108,0.308672,0.020722,0.048578,0.006598,0.01387
110,Robert Johnson - Last Fair Deal Gone Down,0.025073,0.482722,0.008264,0.000604,0.007267,0.006857
111,Robert Johnson - Walkin' Blues,0.00263,0.010925,0.036496,0.420171,0.015101,0.003123
112,Robert Johnson - Traveling Riverside Blues,0.044939,0.220504,0.03087,0.0145,0.013807,0.006585
113,Robert Johnson - I'm A Steady Rollin' Man,0.003927,0.346959,0.041902,0.228377,0.00266,0.066371
114,Bill Monroe - Molly & Tenbrooks,0.008448,0.039022,0.077312,0.000881,0.027997,0.042092
115,Steve Earle & The Supersuckers - Before They Make Me Run,0.005012,0.019832,0.137905,0,0.458293,0.633698
