id,song,festival
452,Royal Crown Revue (Holiday) - Baby It's Cold Outside (feat. Vicky Tafoya),0.208779
744,Don Carlos - Booming Ball,0.208462
184,Chubby Checker - Let' Stwist Again,0.208102
272,Lucy Kaplansky - When I Get To The Border,0.207891
1624,Iron & Wine - Faded From The Winter,0.207644
335,Bonerama - Crosstown Traffic,0.207566
158,Richard Hell & The Voidoids - Love Comes In Spurts,0.207328
696,Brother Ali - Forest Whitiker,0.207204
1840,2Pac (Tupac) - Against All Odds,0.206999
56,Whitney Houston (Holiday) - Do You Hear What I Hear?,0.206955
800,Ralph Stanley & The Clinch Mountain Boys - Beautiful Star Of Bethlehem,0.206865
729,Balearic Bill - Destination Sunshine,0.206214
851,Talib Kweli - I Try,0.206165
1817,Sam Bush - Song For Roy,0.206102
1155,Lindsay Lohan - Rumors,0.20607
731,Lo Fidelity Allstars - Battle Flag,0.205805
312,Cal Bennett - Whole Soul Stroll (Live),0.20576
1056,James Cotton - Take Me Back,0.2054
290,"Josh White - Bonbons, Chocolate, And Chewing Gum",0.205348
1088,AC?DC - Dirty Deeds Done Dirt Cheap (Live),0.205262
431,Pepe Aguilar - Me Falta Valor,0.204896
1098,Social Distortion - Cold Feelings,0.204845
1635,Rihanna - Pon De Replay,0.204787
1462,Sonorous - Pronotonic,0.204413
829,Port O'Brien - I Won't Look Back,0.20412
541,Black Lips - O Katrina!,0.203553
81,Angelo - Save The Music,0.203264
545,Ronnie Earl - Ronnie Johnnie,0.201982
124,Lifehouse - First Time,0.20134
248,The Animals - Baby Let Me Take You Home,0.201241
1784,Phil Wickham - Jesus Lord Of Heaven,0.200975
1795,Seu Jorge - O Samba Tai,0.200332
198,The Sword - Freya,0.199751
150,Waylon Jennings - T For Texas (Blue Yodel No. 1) (live),0.19889
1348,The Beatles - Here Comes The Sun ? The Inner Light (Transition) (Love Version),0.198569
195,The Jackson Southernaires - I Need You To Hold My Hand,0.198116
1268,Rockapella (Holiday) - Home For The Holidays,0.197936
1351,The Beatles - Rock And Roll Music,0.19757
1660,George Acosta - Save Me (Push Remix),0.197373
1263,Plastic Little - Hola Plastique,0.196354
438,Reuben Morgan - My Redeemer Lives,0.19621
598,Sex Pistols - New York,0.19602
1585,Beres Hammond - Who Say (feat. Buju Banton),0.195783
1722,Junior Brown - Semi-Crazy,0.195137
1719,Junior Brown - Highway Patrol,0.195096
209,J-Dilla - Won't Do (Instrumental),0.19507
1406,Liquid Mind - Thought Museum,0.194916
994,Visionaries - Love (Hip-Hop),0.194734
1326,The Beatles - A Day In The Life (Love Version),0.194714
699,Entombed - Full Of Hell,0.19455
314,Dom & Roland - Dance All Night (Calyx remix),0.19455
872,The Bronx - Cobra Lucha,0.194544
1463,Sever Your Ties - Hand In Hand,0.192917
1671,Mr. Scruff - Chipmunk,0.192045
1269,The Roots - Guns Are Drawn,0.19194
1521,Brian Culbertson - Say What? (feat. Steve Cole),0.191399
280,Otis Spann - Mr. Highway Man,0.190837
1756,Huracanes Del Norte - El Perro De Tu Marido,0.189646
653,Dan Deacon - Wooody Woodpecker,0.188302
36,Ella Fitzgerald - I Concentrate On You,0.187999
1398,The Supremes - Where Did Our Love Go,0.187218
399,R. Kelly - Half On A Baby,0.187114
1738,Preston Reed - Tractor Pull,0.186933
718,Spyro Gyra - Summer Fling,0.186547
1607,Botch - Liquored Up And Laid,0.185265
286,The Jam - In The City,0.18521
939,Guns N' Roses - November Rain,0.184779
1273,The Roots - Don't Feel Right (Instrumental),0.184406
1790,The Dirty Projectors - On The Beach,0.184213
802,Ralph Stanley & The Clinch Mountain Boys - I Am Weary,0.183917
1079,AC?DC - You Shook Me All Night Long,0.183319
1708,Lee Ann Womack (Holiday) - Let It Snow & Winter Wonderland,0.182896
405,The Five Blind Boys Of Mississippi - Where He Leads Me,0.18182
1860,Nas - The Message,0.181737
901,Kidz In The Hall - Ritalin,0.181605
229,Trentemoller - Prana,0.181565
1855,The Del McCoury Band - Fire And The Flame,0.181262
1861,Nas - Got Ur Self A...,0.181177
458,Jars Of Clay (Holiday) - I Heard The Bells On Christmas Day,0.180514
1559,Sarah McLachlan - I Love You,0.18032
752,Tommy Emmanuel - One Mint Julep,0.180099
757,Kate Rusby - The Lark,0.179821
1505,Juno Reactor - Conga Fury (Animatrix Mix),0.179552
1317,Tito - Caile,0.17938
1858,Nas - Nas Is Like,0.179362
1507,Los Checkmates - I Think We're Alone Now,0.179249
1546,Toots & The Maytals - Monkey Man,0.179153
1219,David Massengill - My First Kiss,0.178512
1237,The Young Tradition - Lyke Wake Dirge,0.178165
298,Herman's Hermits - Listen People,0.178004
