song,jazz
Juno Reactor - Conga Fury (Animatrix Mix),0.186162
Rosetti. Antonio - Symphony In D Major. A 12?K 1 No 12,0.185062
Teddy Wilson - Body And Soul,0.185017
Say Hi To Your Mom - Blah Blah Blah,0.184808
Kenny Rogers (Holiday) - White Christmas,0.184667
Bill Haley & His Comets - (We're Gonna) Rock Around The Clock,0.18452
Ella Fitzgerald - A Fine Romance,0.182834
Spyro Gyra - Summer Fling,0.182651
Corona - Rythym Of The Night,0.181795
Toots Thielemans & Elis Regina - Aquarela Do Brasil,0.181082
Al Stewart - Time Passages,0.180522
Dire Straits - Sultans Of Swing,0.180214
Lauryn Hill - Ex-Factor,0.179745
Lee Ann Womack (Holiday) - Baby It's Cold Outside (feat. Harry Connick. Jr.),0.179518
Tricky - Aftermath,0.179436
Down To The Bone - Cellar Funk,0.179231
Dead Confederate - Shadow The Walls,0.179215
Rachmaninov. Sergey - Symphony No. 1 in D minor. Op. 13 (lost; reconstructed from piano duets and orch. fragments),0.178628
Stevie Wonder - Ribbon In The Sky,0.178343
Dean Martin - Ain't That A Kick In The Head,0.178167
Robert Shaw Chorale (Holiday) - Carol Of The Bells ? Deck The Halls,0.177406
Assemblage 23 - Longevity,0.175615
Lowell Fulson - Western Union Blues,0.174896
BR549 - Georgia On A Fast Train,0.174855
Social Distortion - Cold Feelings,0.17406
The Pharcyde - Groupie Therapy (Instrumental),0.173547
Chubby Checker - Let' Stwist Again,0.172386
Sam Bush - Song For Roy,0.171452
Soda Stereo - Paseando Por Roma,0.171426
Dean Martin - Mr. Wonderful (Live),0.17119
The Allman Brothers Band - Can't Take It With You,0.171092
Boccherini. Luigi - Quintet For Guitar & Strings In E Minor. G. 451 (arrangement Piano Quintet. G. 407),0.170588
Junior Brown - Gotta Get Up Everymorning,0.169471
Christina Aguilera (Holiday) - The Christmas Song,0.168815
Sean Hayes - Rattlesnake Charm (Dream Machine),0.168745
Jarabe De Palo - Agua,0.168184
Otis Spann - I'm Ready,0.168075
Boccherini. Luigi - Cello Concerto In C Major. G. 573,0.168008
Little Walter - Bad Acting Woman,0.167624
Ella Fitzgerald & Louis Armstrong - Cheek To Cheek,0.167386
Bob Brookmeyer - Skylark,0.166992
Pee Wee Hunt & His Orchestra - Twelfth Street Rag,0.166676
Robert Earl Keen - Feelin' Good Again (Live),0.166365
Eric Harringer & John Paul Lacey - Morning Sun,0.166229
The Beatles - Michelle,0.165326
