id,song,jazz
166,"Rachmaninov, Sergey - Piano Concerto No. 2 In C Minor, Op. 18",0.252075
541,Black Lips - O Katrina!,0.251689
1539,The Association - Never My Love,0.250478
147,Paul Horn - Now Hear This,0.250003
71,Melvin Taylor - Texas Flood,0.249373
759,"Berwald, Franz - Symphony No. 2 In D, ""Sinfonie Capricieuse""",0.248636
1522,Marvin Gaye - Sexual healing,0.247114
1156,Creative Music Services Musicians (Holiday) - O Christmas Tree,0.246371
1799,Nate Dogg (Holiday) - Be Thankful,0.246311
948,Cat Stevens - Wild World,0.246103
1808,Sugarloaf - Green-Eyed Lady,0.245883
1032,"Boccherini, Luigi - Symphony In B Flat Major, G. 497 (Op. 21?5)",0.245661
679,Tex Atchison - Tennessee Hound Dog,0.245553
717,Spyro Gyra - Believe,0.244784
1603,Milt Jackson - The Song Is Ended,0.243429
117,Sharon Jones & The Dap-Kings - Be Easy,0.242918
1458,Del Tha Funkee Homosapien - Burnt (feat. The Hyrogliphics),0.24189
1575,Scratch - Square One (feat. Bilal),0.239549
1701,Tim Track - Panic Voice,0.238388
1445,"Dittersdorf, Karl Ditters von - Sinfonia In D Major, (""Il Combatiimento Delle Passioni Umani""), Grave D16",0.238152
1499,Van Morrison - Tupelo Honey,0.237549
96,Tommy Jarrell - The Drunken Hiccups,0.237188
369,The Nomads - Situations,0.23501
463,Anita Ward - Ring My Bell,0.234765
994,Visionaries - Love (Hip-Hop),0.234667
324,John Scofield - Beep Beep,0.231694
1782,Goodie Mob - The Day After,0.231212
310,Binary Finary - 1999,0.230927
250,The Animals - I Put A Spell On You,0.230355
568,Lowell Fulson - Reconsider Baby,0.229751
506,Stars Of The Lid - A Meaningful Moment Through A Meaning(Less) Process,0.229604
1051,Dire Straits - So Far Away,0.22851
1671,Mr. Scruff - Chipmunk,0.228298
1476,Stevie Wonder - Do I Do,0.226917
1452,"Mahler, Gustav - Symphony No. 6 in A minor (""Tragic"")",0.226505
327,John Scofield - Rule Of Thumb,0.226467
174,"Rachmaninov, Sergey - Symphonic Dances, for orchestra (or 2 pianos), Op. 45",0.226233
101,Bing Crosby - You Must Have Been A Beautiful Baby,0.226189
168,"Rachmaninov, Sergey - Piano Concerto No. 4 In G Minor, Op. 40",0.225034
127,The Soul Survivors - Hey Gyp,0.223909
1219,David Massengill - My First Kiss,0.22339
261,Antonio Carlos Jobim - Tide,0.223321
1376,Bunny Berigan - The Buzzard,0.222346
1759,"Lefty Frizzell - Saginaw, Michigan",0.220698
112,Robert Johnson - Traveling Riverside Blues,0.220504
1474,Stevie Wonder - Higher Ground,0.220425
177,"Rachmaninov, Sergey - The Isle of the Dead, symphonic poem, Op. 29",0.2198
932,Peaches & Herb - Shake Your Groove Thing,0.218865
1446,"Dittersdorf, Karl Ditters von - Concerto For Viola & Orchestra In F",0.218214
1795,Seu Jorge - O Samba Tai,0.217491
1029,"Boccherini, Luigi - String Quartet in A major, G. 213 (Op. 39)",0.216414
860,Glen Gray & The Casa Loma Orchestra - Who's Sorry Now?,0.215998
350,Seal - Wild,0.215834
1526,Marvin Gaye - What's Going On,0.214857
1039,"Boccherini, Luigi - Symphony In C Major, G. 495 (Op. 21?3)",0.214612
204,BBC Big Band Orchestra - On The Sunny Side Of The Street,0.214254
728,J.B. Lenoir - Louise,0.214082
1255,Prince - I Wanna Be Your Lover,0.213715
221,Omens - Searching,0.211183
1190,Covenant - Figurehead,0.211046
162,"Strauss, Richard - Macbeth, Tone Poem For Orchestra, Op. 23 (TrV 163)",0.209533
763,N.W.A. - Real Niggaz Don't Die,0.208947
584,The Manhattans - Kiss And Say Goodbye,0.208413
1247,Gouryella - Walhalla,0.207873
309,The Paul Butterfield Blues Band - Love Her With A Feeling,0.207415
279,Otis Spann - Home To Mississippi,0.206985
1720,Junior Brown - I Hung It Up,0.205268
1205,Pete Fountain - High Society,0.205183
1074,Jimmy Somerville - To Love Somebody,0.204333
1234,Clifford Brown - Donna Lee (live),0.201933
80,"Schumann, Robert - String Quartet No. 2 in F major, Op. 41?2",0.201407
343,Chick Corea Elektric Band - Passage,0.199637
1745,Nine Inch Nails - Zero Sum (Stephen Morris & Gillian Gilbert Remix),0.199015
604,Buddy Bregman - Derek's Blues,0.197863
634,Harold Melvin & The Blue Notes - Don't Leave Me This Way,0.197076
1121,Tony Bennett - What A Wonderful World,0.196004
17,Little Milton - My Back Scratcher,0.195304
1826,As One - In The Arms Of You,0.194839
290,"Josh White - Bonbons, Chocolate, And Chewing Gum",0.193905
892,Dan The Automator - Sleep,0.193286
1034,"Boccherini, Luigi - Symphony In D Major, G. 496 (Op. 21?4)",0.192203
1444,"Dittersdorf, Karl Ditters von - Sinfonia In A Major, (""Sinfonia Nazionale Nel Gusto Di Cinque Nazioni""), Grave A10",0.192061
864,The Allman Brothers Band - Long Time Gone,0.191907
1037,"Boccherini, Luigi - Symphony In E Flat Major, G. 513 (Op. 35?5)",0.191364
1863,"The Dukes Of Dixieland - Sunrise, Sunset",0.191001
1056,James Cotton - Take Me Back,0.190173
595,"Boyce, William - Trio Sonata No. 9 In C Major",0.189602
558,"Mealli, Giovanni - Sonata For Violin & Continuo, Op. 3?6 (""La Sabbatina"")",0.189207
572,"Lowell Fulson - No More, Pt. 1",0.187693
42,Ella Fitzgerald - Bidin' My Time,0.186988
337,Bonerama - Funky Miracle,0.186218
1505,Juno Reactor - Conga Fury (Animatrix Mix),0.186162
129,"Rosetti, Antonio - Symphony In D Major, A 12?K 1 No 12",0.185062
836,Teddy Wilson - Body And Soul,0.185017
1454,Say Hi To Your Mom - Blah Blah Blah,0.184808
317,Kenny Rogers (Holiday) - White Christmas,0.184667
478,Bill Haley & His Comets - (We're Gonna) Rock Around The Clock,0.18452
32,Ella Fitzgerald - A Fine Romance,0.182834
718,Spyro Gyra - Summer Fling,0.182651
819,Corona - Rythym Of The Night,0.181795
416,Toots Thielemans & Elis Regina - Aquarela Do Brasil,0.181082
706,Al Stewart - Time Passages,0.180522
1049,Dire Straits - Sultans Of Swing,0.180214
1640,Lauryn Hill - Ex-Factor,0.179745
1707,"Lee Ann Womack (Holiday) - Baby It's Cold Outside (feat. Harry Connick, Jr.)",0.179518
82,Tricky - Aftermath,0.179436
1232,Down To The Bone - Cellar Funk,0.179231
1264,Dead Confederate - Shadow The Walls,0.179215
175,"Rachmaninov, Sergey - Symphony No. 1 in D minor, Op. 13 (lost; reconstructed from piano duets and orch. fragments)",0.178628
1481,Stevie Wonder - Ribbon In The Sky,0.178343
641,Dean Martin - Ain't That A Kick In The Head,0.178167
374,Robert Shaw Chorale (Holiday) - Carol Of The Bells ? Deck The Halls,0.177406
361,Assemblage 23 - Longevity,0.175615
567,Lowell Fulson - Western Union Blues,0.174896
358,BR549 - Georgia On A Fast Train,0.174855
1098,Social Distortion - Cold Feelings,0.17406
847,The Pharcyde - Groupie Therapy (Instrumental),0.173547
184,Chubby Checker - Let' Stwist Again,0.172386
1817,Sam Bush - Song For Roy,0.171452
468,Soda Stereo - Paseando Por Roma,0.171426
642,Dean Martin - Mr. Wonderful (Live),0.17119
863,The Allman Brothers Band - Can't Take It With You,0.171092
1020,"Boccherini, Luigi - Quintet For Guitar & Strings In E Minor, G. 451 (arrangement Piano Quintet, G. 407)",0.170588
1718,Junior Brown - Gotta Get Up Everymorning,0.169471
1779,Christina Aguilera (Holiday) - The Christmas Song,0.168815
122,Sean Hayes - Rattlesnake Charm (Dream Machine),0.168745
1811,Jarabe De Palo - Agua,0.168184
277,Otis Spann - I'm Ready,0.168075
1007,"Boccherini, Luigi - Cello Concerto In C Major, G. 573",0.168008
887,Little Walter - Bad Acting Woman,0.167624
1140,Ella Fitzgerald & Louis Armstrong - Cheek To Cheek,0.167386
441,Bob Brookmeyer - Skylark,0.166992
1692,Pee Wee Hunt & His Orchestra - Twelfth Street Rag,0.166676
1704,Robert Earl Keen - Feelin' Good Again (Live),0.166365
1430,Eric Harringer & John Paul Lacey - Morning Sun,0.166229
1330,The Beatles - Michelle,0.165326
37,Ella Fitzgerald - It's Only A Paper Moon,0.164441
422,Hank Williams III - Crazed Country Rebel,0.163401
760,Les Paul & Mary Ford - How High The Moon,0.163274
1675,Doc Watson - Liitle Orphan Girl (Live),0.162499
1309,Tipica 73 - Cachita,0.162085
289,Josh White - Uncle Sam Says,0.162046
1466,Passion - Glorious,0.161609
917,Dan Crary - Senso Unico,0.161189
161,"Strauss, Richard - Eine Alpensinfonie (An Alpine Symphony) For Orchestra, Op. 64 (TrV 233)",0.160967
1322,The Beatles - Maxwell's Silver Hammer,0.160298
104,Bing Crosby - I Don't Know Why (live),0.158623
182,Steve Winwood - While You See A Chance,0.158596
165,"Rachmaninov, Sergey - Piano Concerto No. 1 In F Sharp Minor, Op. 1",0.158473
357,James P. Johnson - You've Got To Be Modernistic,0.157989
662,Ryan Montbleau Band - Stretch,0.157964
121,Sharon Jones & The Dap-Kings - Nobody's Baby,0.156852
1592,System F - Out Of The Blue,0.156439
143,Slim Harpo - You Can't Make It,0.155927
417,Lorie Line - Think Of Me,0.153807
300,Maynard Ferguson - Everybody Moan,0.153617
293,Josh White - One For My Baby,0.152902
1840,2Pac (Tupac) - Against All Odds,0.152269
260,Antonio Carlos Jobim - Insensatez (How Insensitive),0.151958
144,Silberbart - Head Tear Of The Drunken Sun,0.151436
265,Antonio Carlos Jobim - The Girl From Ipanema,0.150801
610,"Chopin, Fryderyk - Nocturnes (3) For Piano, Op. 9, Ct. 108-110",0.15079
638,Dean Martin - Everybody Loves Somebody,0.150473
637,Dean Martin - On The Street Where You Live,0.149805
43,Ella Fitzgerald - Darn That Dream,0.149786
1724,Junior Brown - You Didn't Have To Go All The Way,0.149631
1442,"Dittersdorf, Karl Ditters von - Concerto For Harp, 2 Oboes, 2 Horns & Stringorchestra In A Major",0.148977
1437,"John Jacob Niles (Holiday) - Jesus, Jesus, Rest Your Head",0.148572
1832,Zion - Zun Da Da,0.148425
299,Herman's Hermits - There's A Kind Of Hush,0.148288
467,Soda Stereo - Ella Uso Mi Cabeza Como Un Revolver,0.1481
1083,AC?DC - Moneytalks,0.147463
390,Rosalia De Souza - Ao Amigo Tom,0.147314
1238,Mose Andrews - Ten Pound Hammer,0.147048
24,RJD2 - Things Go Better,0.146734
1413,The Rolling Stones - Complicated,0.146492
203,BBC Big Band Orchestra - I'm Getting Sentimental Over You,0.145225
1843,2Pac (Tupac) - Death Around The Corner,0.145047
1487,Sky Saxon - Love Dog,0.145011
411,Wumpscut - Opening The Gates Of Hell,0.144929
1658,George Acosta - Another Way (Club Mix),0.144873
1009,"Boccherini, Luigi - Symphony In D Major, G. 509 (Op. 35?1)",0.144484
5,Deuter - Sea And Silence,0.144368
1768,David Grisman & Tony Rice - Swing '42,0.143368
1179,Don Ross - Klimbim,0.143129
1145,Daryl Coley - I Will Bless Your Name,0.142349
571,Lowell Fulson - I'm A Night Owl (Part 2),0.142052
94,Black Sheep - The Choice Is Yours (Revisited),0.1419
1075,Johnny Adams - Not Trustworthy (A Lyin' Woman),0.141755
979,Bessie Smith (Holiday) - At The Christmas Ball,0.140713
907,Loquat - Slow Fast Wait & See,0.140693
751,Tommy Emmanuel - The Hunt,0.140647
280,Otis Spann - Mr. Highway Man,0.140587
1500,Van Morrison - Domino,0.140486
249,The Animals - Don't Bring Me Down,0.140394
1198,Tommy Johnson - Cool Drink Of Water Blues,0.140006
1591,Bryan Lee - Just Like A Fish,0.139782
450,Arrested Development - Tennessee,0.139563
1678,Doc Watson - Jimmy's Texas Blues (Live),0.13934
1753,Roomful Of Blues (Holiday) - Have Yourself A Merry Little Christmas,0.13885
1748,Tom Rush - Mole's Moan,0.138581
1774,Howard Roberts - Watermelon Man,0.138427
971,Roni Size & Reprazent - Brown Paper Bag (Roni Size Full Rap Remix),0.138264
1303,Cold Grits - It's Your Thing,0.138136
90,"Antonio Vivaldi (Holiday) - Gloria In D Major, Et In Terra Pax",0.137817
822,!!! (Chk Chk Chk) - Hello? Is This Thing On,0.137608
1332,"The Beatles - Ob-La-Di, Ob-La-Da",0.13655
60,Doctor Ross - Tailor Made,0.134918
956,Tex Ritter - I've Found A New Baby (Instrumental),0.134605
189,Underworld - Born Slippy,0.134527
1036,"Boccherini, Luigi - Symphony In D Minor (""La Casa Del Diavolo""), G. 506 (Op. 12?4)",0.13422
326,John Scofield - Drop And Roll,0.13391
851,Talib Kweli - I Try,0.133898
890,Dan The Automator - Champions (Instrumental),0.13377
227,Johannes Linstead - Cielo Azul,0.133558
1123,Tony Bennett - The Best Man,0.133446
283,The Jam - Absolute Beginners,0.132096
973,Roni Size & Reprazent - Hi-Potent,0.131947
1614,Public Enemy - Don't Believe The Hype,0.131711
859,Maria Bethania & Gal Gosta - Sonho Meu,0.131328
1057,James Cotton - Blues For Jacklyn,0.131117
228,Johannes Linstead - La Rumbita,0.130437
1196,The Clovers - Devil Or Angel,0.130345
1225,"Cherubini, Luigi - Symphony In D Major",0.129994
1794,Naama Hillman - Falling,0.129764
1797,Don Carlos & Golo - Tear Drops,0.128588
19,RJD2 - All For You,0.128559
834,Teddy Wilson - I've Got A Crush On You,0.128557
694,L.T.D. - Back In Love Again,0.127813
479,"Bill Haley & His Comets - Shake, Rattle And Roll",0.125895
1686,Reno & Smiley - I Saw Your Face In The Moon,0.12531
1420,The Rolling Stones - I'm Free,0.124486
25,Bob Baldwin - I Wanna Be Where You Are,0.124468
1818,Sam Bush - Spooky Lane,0.124385
138,Lester Young - Prisoner Of Love,0.124155
632,"Couperin, Francois - Ignitum Eloquium Tuum, Motet Verset For 2 Sopranos, 2 Violins & Continuo (4 Versets D'un Motet)",0.123907
1740,Nine Inch Nails - Heresy,0.123749
464,Chuck Berry (Holiday) - Run Rudolph Run,0.123544
93,Black Sheep - The Choice Is Yours (Album Version),0.12343
1099,Social Distortion - Bad Luck,0.123293
575,Paul Oakenfold - Amsterdam,0.123279
1394,Marvin Sapp - Perfect Peace,0.122499
1550,Toots & The Maytals - Sweet And Dandy,0.122243
809,Poppa Hop & His Orchestra (Holiday) - Merry Christmas Darling,0.121923
1653,Jake Schepps - Bluff's Collar,0.121883
1160,"Harry Connick, Jr. - I Could Write A Book",0.121867
548,Liz Story (Holiday) - O Thou Joyful Day - O Little Town of Bethlehem,0.121867
1290,Donnie McClurkin - He's Calling You,0.121837
934,Jackie Wilson - Lonely Teardrops,0.121204
1423,Fastball - Are You Ready For The Fallout?,0.12107
555,Provision - Visualize,0.121054
1052,Shudder To Think - Goat,0.120624
1848,Gerry & The Pacemakers - See You In September,0.120573
1679,Doc Watson - Little Sadie,0.120433
391,Rosalia De Souza - Nem Que Seja A Nado,0.120388
1523,Marvin Gaye - Let's Get It On,0.119903
1820,Sam Bush - Mr. Freddie,0.119883
